Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Cleaned Salary,monthly,min_salary,max_salary,min_salary_rupees,max_salary_rupees,avg_salary_rupees,company_name_cleaned
Data Scientist,"Spotify
4.0",Mumbai,₹3L – ₹9L/yr (Glassdoor Est.),4.0,,3 – 9/yr,0,3,9,300000,900000,600000.0,Spotify
Data Scientist,"ITSWS Technologies Pvt. Ltd.
4.0",Remote,₹60K – ₹70K/mo (Employer provided),4.0,,60 – 70/mo,1,60,70,60000,70000,65000.0,ITSWS Technologies Pvt. Ltd.
Junior Data Scientist,"LSEG (London Stock Exchange Group)
3.7",Bengaluru,₹7L – ₹10L/yr (Glassdoor Est.),3.7,,7 – 10/yr,0,7,10,700000,1000000,850000.0,LSEG (London Stock Exchange Group)
Data Scientist,,Remote,₹12L – ₹20L/yr (Employer provided),,,12 – 20/yr,0,12,20,1200000,2000000,1600000.0,nan
Data Scientist 1,"PayPal
3.7",Bengaluru,₹2L – ₹4L/yr (Glassdoor Est.),3.7,,2 – 4/yr,0,2,4,200000,400000,300000.0,PayPal
Data Scientist,,Bengaluru,₹7L – ₹9L/yr (Employer provided),,,7 – 9/yr,0,7,9,700000,900000,800000.0,nan
Data Scientist,"Qualys
3.6",Pune,₹10L/yr (Glassdoor Est.),3.6,,10/yr,0,10,10,1000000,1000000,1000000.0,Qualys
Data Scientist / ML Engineer,,Remote,₹50K – ₹70K/mo (Employer provided),,,50 – 70/mo,1,50,70,50000,70000,60000.0,nan
Data Scientist,,Okhla,₹4L – ₹12L/yr (Employer provided),,,4 – 12/yr,0,4,12,400000,1200000,800000.0,nan
Data Scientist,,Remote,₹35L – ₹45L/yr (Employer provided),,,35 – 45/yr,0,35,45,3500000,4500000,4000000.0,nan
Senior Data Scientist,"OSRAM India Pvt. Limited
3.7",Gurgaon,₹3L – ₹10L/yr (Glassdoor Est.),3.7,,3 – 10/yr,0,3,10,300000,1000000,650000.0,OSRAM India Pvt. Limited
Principal Member of technical Staff- AI & Data Engineering,"Athenahealth
4.1",Chennai,₹5L – ₹8L/yr (Glassdoor Est.),4.1,,5 – 8/yr,0,5,8,500000,800000,650000.0,Athenahealth
Data Scientist - C13 - VP - PUNE,"Citi
3.7",Pune,₹3L – ₹4L/yr (Glassdoor Est.),3.7,,3 – 4/yr,0,3,4,300000,400000,350000.0,Citi
Engineer – Marketing Data & AI,"Electrolux
4.0",Bengaluru,₹7L – ₹9L/yr (Glassdoor Est.),4.0,,7 – 9/yr,0,7,9,700000,900000,800000.0,Electrolux
NLP Project Manager,,Coimbatore,₹4L/yr (Employer provided),,,4/yr,0,4,4,400000,400000,400000.0,nan
Python/AI Developer (FastAPI & MongoDB Specialist),,Mohali,₹4L/yr (Employer provided),,,4/yr,0,4,4,400000,400000,400000.0,nan
DATA SCIENTIST : 0-2 Years (FRESHERS),"REIZEND PRIVATE LIMITED
3.6",India,₹4L – ₹6L/yr (Employer provided),3.6,,4 – 6/yr,0,4,6,400000,600000,500000.0,REIZEND PRIVATE LIMITED
Data Scientist,,Remote,₹5L – ₹10L/yr (Employer provided),,,5 – 10/yr,0,5,10,500000,1000000,750000.0,nan
Data Scientist,"Confident
4.1",Chennai,₹6L – ₹19L/yr (Employer provided),4.1,,6 – 19/yr,0,6,19,600000,1900000,1250000.0,Confident
Data Scientist Intern,"SoulPage IT Solutions
4.4",Hyderābād,₹20K/mo (Employer provided),4.4,,20/mo,1,20,20,20000,20000,20000.0,SoulPage IT Solutions
Data Scientist,,India,₹20K – ₹80K/mo (Employer provided),,,20 – 80/mo,1,20,80,20000,80000,50000.0,nan
Data Scientist,,Remote,₹4L – ₹11L/yr (Employer provided),,,4 – 11/yr,0,4,11,400000,1100000,750000.0,nan
Data Scientist,,Remote,₹6L – ₹12L/yr (Employer provided),,,6 – 12/yr,0,6,12,600000,1200000,900000.0,nan
"Data / ML Scientist (Clustering, Trends & Root-Cause)",,Remote,₹10L/yr (Employer provided),,,10/yr,0,10,10,1000000,1000000,1000000.0,nan
Data Scientist,"Spotify
4.0",Mumbai,₹3L – ₹9L/yr (Glassdoor Est.),4.0,,3 – 9/yr,0,3,9,300000,900000,600000.0,Spotify
Data Scientist,"ITSWS Technologies Pvt. Ltd.
4.0",Remote,₹60K – ₹70K/mo (Employer provided),4.0,,60 – 70/mo,1,60,70,60000,70000,65000.0,ITSWS Technologies Pvt. Ltd.
Junior Data Scientist,"LSEG (London Stock Exchange Group)
3.7",Bengaluru,₹7L – ₹10L/yr (Glassdoor Est.),3.7,,7 – 10/yr,0,7,10,700000,1000000,850000.0,LSEG (London Stock Exchange Group)
Data Scientist,,Remote,₹12L – ₹20L/yr (Employer provided),,,12 – 20/yr,0,12,20,1200000,2000000,1600000.0,nan
Data Scientist 1,"PayPal
3.7",Bengaluru,₹2L – ₹4L/yr (Glassdoor Est.),3.7,,2 – 4/yr,0,2,4,200000,400000,300000.0,PayPal
Data Scientist,,Bengaluru,₹7L – ₹9L/yr (Employer provided),,,7 – 9/yr,0,7,9,700000,900000,800000.0,nan
Data Scientist,"Qualys
3.6",Pune,₹10L/yr (Glassdoor Est.),3.6,,10/yr,0,10,10,1000000,1000000,1000000.0,Qualys
Data Scientist / ML Engineer,,Remote,₹50K – ₹70K/mo (Employer provided),,,50 – 70/mo,1,50,70,50000,70000,60000.0,nan
Data Scientist,,Okhla,₹4L – ₹12L/yr (Employer provided),,,4 – 12/yr,0,4,12,400000,1200000,800000.0,nan
Data Scientist,,Remote,₹35L – ₹45L/yr (Employer provided),,,35 – 45/yr,0,35,45,3500000,4500000,4000000.0,nan
Senior Data Scientist,"OSRAM India Pvt. Limited
3.7",Gurgaon,₹3L – ₹10L/yr (Glassdoor Est.),3.7,,3 – 10/yr,0,3,10,300000,1000000,650000.0,OSRAM India Pvt. Limited
Principal Member of technical Staff- AI & Data Engineering,"Athenahealth
4.1",Chennai,₹5L – ₹8L/yr (Glassdoor Est.),4.1,,5 – 8/yr,0,5,8,500000,800000,650000.0,Athenahealth
Data Scientist - C13 - VP - PUNE,"Citi
3.7",Pune,₹3L – ₹4L/yr (Glassdoor Est.),3.7,,3 – 4/yr,0,3,4,300000,400000,350000.0,Citi
Engineer – Marketing Data & AI,"Electrolux
4.0",Bengaluru,₹7L – ₹9L/yr (Glassdoor Est.),4.0,,7 – 9/yr,0,7,9,700000,900000,800000.0,Electrolux
NLP Project Manager,,Coimbatore,₹4L/yr (Employer provided),,,4/yr,0,4,4,400000,400000,400000.0,nan
Python/AI Developer (FastAPI & MongoDB Specialist),,Mohali,₹4L/yr (Employer provided),,,4/yr,0,4,4,400000,400000,400000.0,nan
DATA SCIENTIST : 0-2 Years (FRESHERS),"REIZEND PRIVATE LIMITED
3.6",India,₹4L – ₹6L/yr (Employer provided),3.6,,4 – 6/yr,0,4,6,400000,600000,500000.0,REIZEND PRIVATE LIMITED
Data Scientist,,Remote,₹5L – ₹10L/yr (Employer provided),,,5 – 10/yr,0,5,10,500000,1000000,750000.0,nan
Data Scientist,"Confident
4.1",Chennai,₹6L – ₹19L/yr (Employer provided),4.1,,6 – 19/yr,0,6,19,600000,1900000,1250000.0,Confident
Data Scientist Intern,"SoulPage IT Solutions
4.4",Hyderābād,₹20K/mo (Employer provided),4.4,,20/mo,1,20,20,20000,20000,20000.0,SoulPage IT Solutions
Data Scientist,,India,₹20K – ₹80K/mo (Employer provided),,,20 – 80/mo,1,20,80,20000,80000,50000.0,nan
Data Scientist,,Remote,₹4L – ₹11L/yr (Employer provided),,,4 – 11/yr,0,4,11,400000,1100000,750000.0,nan
Data Scientist,,Remote,₹6L – ₹12L/yr (Employer provided),,,6 – 12/yr,0,6,12,600000,1200000,900000.0,nan
"Data / ML Scientist (Clustering, Trends & Root-Cause)",,Remote,₹10L/yr (Employer provided),,,10/yr,0,10,10,1000000,1000000,1000000.0,nan
Data Scientist,"Spotify
4.0",Mumbai,₹3L – ₹9L/yr (Glassdoor Est.),4.0,,3 – 9/yr,0,3,9,300000,900000,600000.0,Spotify
Data Scientist,"ITSWS Technologies Pvt. Ltd.
4.0",Remote,₹60K – ₹70K/mo (Employer provided),4.0,,60 – 70/mo,1,60,70,60000,70000,65000.0,ITSWS Technologies Pvt. Ltd.
Junior Data Scientist,"LSEG (London Stock Exchange Group)
3.7",Bengaluru,₹7L – ₹10L/yr (Glassdoor Est.),3.7,,7 – 10/yr,0,7,10,700000,1000000,850000.0,LSEG (London Stock Exchange Group)
Data Scientist,,Remote,₹12L – ₹20L/yr (Employer provided),,,12 – 20/yr,0,12,20,1200000,2000000,1600000.0,nan
Data Scientist 1,"PayPal
3.7",Bengaluru,₹2L – ₹4L/yr (Glassdoor Est.),3.7,,2 – 4/yr,0,2,4,200000,400000,300000.0,PayPal
Data Scientist,,Bengaluru,₹7L – ₹9L/yr (Employer provided),,,7 – 9/yr,0,7,9,700000,900000,800000.0,nan
Data Scientist,"Qualys
3.6",Pune,₹10L/yr (Glassdoor Est.),3.6,,10/yr,0,10,10,1000000,1000000,1000000.0,Qualys
Data Scientist / ML Engineer,,Remote,₹50K – ₹70K/mo (Employer provided),,,50 – 70/mo,1,50,70,50000,70000,60000.0,nan
Data Scientist,,Okhla,₹4L – ₹12L/yr (Employer provided),,,4 – 12/yr,0,4,12,400000,1200000,800000.0,nan
Data Scientist,,Remote,₹35L – ₹45L/yr (Employer provided),,,35 – 45/yr,0,35,45,3500000,4500000,4000000.0,nan
Senior Data Scientist,"OSRAM India Pvt. Limited
3.7",Gurgaon,₹3L – ₹10L/yr (Glassdoor Est.),3.7,,3 – 10/yr,0,3,10,300000,1000000,650000.0,OSRAM India Pvt. Limited
Principal Member of technical Staff- AI & Data Engineering,"Athenahealth
4.1",Chennai,₹5L – ₹8L/yr (Glassdoor Est.),4.1,,5 – 8/yr,0,5,8,500000,800000,650000.0,Athenahealth
Data Scientist - C13 - VP - PUNE,"Citi
3.7",Pune,₹3L – ₹4L/yr (Glassdoor Est.),3.7,,3 – 4/yr,0,3,4,300000,400000,350000.0,Citi
Engineer – Marketing Data & AI,"Electrolux
4.0",Bengaluru,₹7L – ₹9L/yr (Glassdoor Est.),4.0,,7 – 9/yr,0,7,9,700000,900000,800000.0,Electrolux
NLP Project Manager,,Coimbatore,₹4L/yr (Employer provided),,,4/yr,0,4,4,400000,400000,400000.0,nan
Python/AI Developer (FastAPI & MongoDB Specialist),,Mohali,₹4L/yr (Employer provided),,,4/yr,0,4,4,400000,400000,400000.0,nan
DATA SCIENTIST : 0-2 Years (FRESHERS),"REIZEND PRIVATE LIMITED
3.6",India,₹4L – ₹6L/yr (Employer provided),3.6,,4 – 6/yr,0,4,6,400000,600000,500000.0,REIZEND PRIVATE LIMITED
Data Scientist,,Remote,₹5L – ₹10L/yr (Employer provided),,,5 – 10/yr,0,5,10,500000,1000000,750000.0,nan
Data Scientist,"Confident
4.1",Chennai,₹6L – ₹19L/yr (Employer provided),4.1,,6 – 19/yr,0,6,19,600000,1900000,1250000.0,Confident
Data Scientist Intern,"SoulPage IT Solutions
4.4",Hyderābād,₹20K/mo (Employer provided),4.4,,20/mo,1,20,20,20000,20000,20000.0,SoulPage IT Solutions
Data Scientist,,India,₹20K – ₹80K/mo (Employer provided),,,20 – 80/mo,1,20,80,20000,80000,50000.0,nan
Data Scientist,,Remote,₹4L – ₹11L/yr (Employer provided),,,4 – 11/yr,0,4,11,400000,1100000,750000.0,nan
Data Scientist,,Remote,₹6L – ₹12L/yr (Employer provided),,,6 – 12/yr,0,6,12,600000,1200000,900000.0,nan
"Data / ML Scientist (Clustering, Trends & Root-Cause)",,Remote,₹10L/yr (Employer provided),,,10/yr,0,10,10,1000000,1000000,1000000.0,nan
Data Scientist,"Spotify
4.0",Mumbai,₹3L – ₹9L/yr (Glassdoor Est.),4.0,,3 – 9/yr,0,3,9,300000,900000,600000.0,Spotify
Data Scientist,"ITSWS Technologies Pvt. Ltd.
4.0",Remote,₹60K – ₹70K/mo (Employer provided),4.0,,60 – 70/mo,1,60,70,60000,70000,65000.0,ITSWS Technologies Pvt. Ltd.
Junior Data Scientist,"LSEG (London Stock Exchange Group)
3.7",Bengaluru,₹7L – ₹10L/yr (Glassdoor Est.),3.7,,7 – 10/yr,0,7,10,700000,1000000,850000.0,LSEG (London Stock Exchange Group)
Data Scientist,,Remote,₹12L – ₹20L/yr (Employer provided),,,12 – 20/yr,0,12,20,1200000,2000000,1600000.0,nan
Data Scientist 1,"PayPal
3.7",Bengaluru,₹2L – ₹4L/yr (Glassdoor Est.),3.7,,2 – 4/yr,0,2,4,200000,400000,300000.0,PayPal
Data Scientist,,Bengaluru,₹7L – ₹9L/yr (Employer provided),,,7 – 9/yr,0,7,9,700000,900000,800000.0,nan
Data Scientist,"Qualys
3.6",Pune,₹10L/yr (Glassdoor Est.),3.6,,10/yr,0,10,10,1000000,1000000,1000000.0,Qualys
Data Scientist / ML Engineer,,Remote,₹50K – ₹70K/mo (Employer provided),,,50 – 70/mo,1,50,70,50000,70000,60000.0,nan
Data Scientist,,Okhla,₹4L – ₹12L/yr (Employer provided),,,4 – 12/yr,0,4,12,400000,1200000,800000.0,nan
Data Scientist,,Remote,₹35L – ₹45L/yr (Employer provided),,,35 – 45/yr,0,35,45,3500000,4500000,4000000.0,nan
Senior Data Scientist,"OSRAM India Pvt. Limited
3.7",Gurgaon,₹3L – ₹10L/yr (Glassdoor Est.),3.7,,3 – 10/yr,0,3,10,300000,1000000,650000.0,OSRAM India Pvt. Limited
Principal Member of technical Staff- AI & Data Engineering,"Athenahealth
4.1",Chennai,₹5L – ₹8L/yr (Glassdoor Est.),4.1,,5 – 8/yr,0,5,8,500000,800000,650000.0,Athenahealth
Data Scientist - C13 - VP - PUNE,"Citi
3.7",Pune,₹3L – ₹4L/yr (Glassdoor Est.),3.7,,3 – 4/yr,0,3,4,300000,400000,350000.0,Citi
Engineer – Marketing Data & AI,"Electrolux
4.0",Bengaluru,₹7L – ₹9L/yr (Glassdoor Est.),4.0,,7 – 9/yr,0,7,9,700000,900000,800000.0,Electrolux
NLP Project Manager,,Coimbatore,₹4L/yr (Employer provided),,,4/yr,0,4,4,400000,400000,400000.0,nan
Python/AI Developer (FastAPI & MongoDB Specialist),,Mohali,₹4L/yr (Employer provided),,,4/yr,0,4,4,400000,400000,400000.0,nan
DATA SCIENTIST : 0-2 Years (FRESHERS),"REIZEND PRIVATE LIMITED
3.6",India,₹4L – ₹6L/yr (Employer provided),3.6,,4 – 6/yr,0,4,6,400000,600000,500000.0,REIZEND PRIVATE LIMITED
Data Scientist,,Remote,₹5L – ₹10L/yr (Employer provided),,,5 – 10/yr,0,5,10,500000,1000000,750000.0,nan
Data Scientist,"Confident
4.1",Chennai,₹6L – ₹19L/yr (Employer provided),4.1,,6 – 19/yr,0,6,19,600000,1900000,1250000.0,Confident
Data Scientist Intern,"SoulPage IT Solutions
4.4",Hyderābād,₹20K/mo (Employer provided),4.4,,20/mo,1,20,20,20000,20000,20000.0,SoulPage IT Solutions
Data Scientist,,India,₹20K – ₹80K/mo (Employer provided),,,20 – 80/mo,1,20,80,20000,80000,50000.0,nan
Data Scientist,,Remote,₹4L – ₹11L/yr (Employer provided),,,4 – 11/yr,0,4,11,400000,1100000,750000.0,nan
Data Scientist,,Remote,₹6L – ₹12L/yr (Employer provided),,,6 – 12/yr,0,6,12,600000,1200000,900000.0,nan
"Data / ML Scientist (Clustering, Trends & Root-Cause)",,Remote,₹10L/yr (Employer provided),,,10/yr,0,10,10,1000000,1000000,1000000.0,nan
Data Scientist,"Spotify
4.0",Mumbai,₹3L – ₹9L/yr (Glassdoor Est.),4.0,,3 – 9/yr,0,3,9,300000,900000,600000.0,Spotify
Data Scientist,"ITSWS Technologies Pvt. Ltd.
4.0",Remote,₹60K – ₹70K/mo (Employer provided),4.0,,60 – 70/mo,1,60,70,60000,70000,65000.0,ITSWS Technologies Pvt. Ltd.
Junior Data Scientist,"LSEG (London Stock Exchange Group)
3.7",Bengaluru,₹7L – ₹10L/yr (Glassdoor Est.),3.7,,7 – 10/yr,0,7,10,700000,1000000,850000.0,LSEG (London Stock Exchange Group)
Data Scientist,,Remote,₹12L – ₹20L/yr (Employer provided),,,12 – 20/yr,0,12,20,1200000,2000000,1600000.0,nan
Data Scientist 1,"PayPal
3.7",Bengaluru,₹2L – ₹4L/yr (Glassdoor Est.),3.7,,2 – 4/yr,0,2,4,200000,400000,300000.0,PayPal
Data Scientist,,Bengaluru,₹7L – ₹9L/yr (Employer provided),,,7 – 9/yr,0,7,9,700000,900000,800000.0,nan
Data Scientist,"Qualys
3.6",Pune,₹10L/yr (Glassdoor Est.),3.6,,10/yr,0,10,10,1000000,1000000,1000000.0,Qualys
Data Scientist / ML Engineer,,Remote,₹50K – ₹70K/mo (Employer provided),,,50 – 70/mo,1,50,70,50000,70000,60000.0,nan
Data Scientist,,Okhla,₹4L – ₹12L/yr (Employer provided),,,4 – 12/yr,0,4,12,400000,1200000,800000.0,nan
Data Scientist,,Remote,₹35L – ₹45L/yr (Employer provided),,,35 – 45/yr,0,35,45,3500000,4500000,4000000.0,nan
Senior Data Scientist,"OSRAM India Pvt. Limited
3.7",Gurgaon,₹3L – ₹10L/yr (Glassdoor Est.),3.7,,3 – 10/yr,0,3,10,300000,1000000,650000.0,OSRAM India Pvt. Limited
Principal Member of technical Staff- AI & Data Engineering,"Athenahealth
4.1",Chennai,₹5L – ₹8L/yr (Glassdoor Est.),4.1,,5 – 8/yr,0,5,8,500000,800000,650000.0,Athenahealth
Data Scientist - C13 - VP - PUNE,"Citi
3.7",Pune,₹3L – ₹4L/yr (Glassdoor Est.),3.7,,3 – 4/yr,0,3,4,300000,400000,350000.0,Citi
Engineer – Marketing Data & AI,"Electrolux
4.0",Bengaluru,₹7L – ₹9L/yr (Glassdoor Est.),4.0,,7 – 9/yr,0,7,9,700000,900000,800000.0,Electrolux
NLP Project Manager,,Coimbatore,₹4L/yr (Employer provided),,,4/yr,0,4,4,400000,400000,400000.0,nan
Python/AI Developer (FastAPI & MongoDB Specialist),,Mohali,₹4L/yr (Employer provided),,,4/yr,0,4,4,400000,400000,400000.0,nan
DATA SCIENTIST : 0-2 Years (FRESHERS),"REIZEND PRIVATE LIMITED
3.6",India,₹4L – ₹6L/yr (Employer provided),3.6,,4 – 6/yr,0,4,6,400000,600000,500000.0,REIZEND PRIVATE LIMITED
Data Scientist,,Remote,₹5L – ₹10L/yr (Employer provided),,,5 – 10/yr,0,5,10,500000,1000000,750000.0,nan
Data Scientist,"Confident
4.1",Chennai,₹6L – ₹19L/yr (Employer provided),4.1,,6 – 19/yr,0,6,19,600000,1900000,1250000.0,Confident
Data Scientist Intern,"SoulPage IT Solutions
4.4",Hyderābād,₹20K/mo (Employer provided),4.4,,20/mo,1,20,20,20000,20000,20000.0,SoulPage IT Solutions
Data Scientist,,India,₹20K – ₹80K/mo (Employer provided),,,20 – 80/mo,1,20,80,20000,80000,50000.0,nan
Data Scientist,,Remote,₹4L – ₹11L/yr (Employer provided),,,4 – 11/yr,0,4,11,400000,1100000,750000.0,nan
Data Scientist,,Remote,₹6L – ₹12L/yr (Employer provided),,,6 – 12/yr,0,6,12,600000,1200000,900000.0,nan
"Data / ML Scientist (Clustering, Trends & Root-Cause)",,Remote,₹10L/yr (Employer provided),,,10/yr,0,10,10,1000000,1000000,1000000.0,nan
Data Scientist,"Spotify
4.0",Mumbai,₹3L – ₹9L/yr (Glassdoor Est.),4.0,,3 – 9/yr,0,3,9,300000,900000,600000.0,Spotify
Data Scientist,"ITSWS Technologies Pvt. Ltd.
4.0",Remote,₹60K – ₹70K/mo (Employer provided),4.0,,60 – 70/mo,1,60,70,60000,70000,65000.0,ITSWS Technologies Pvt. Ltd.
Junior Data Scientist,"LSEG (London Stock Exchange Group)
3.7",Bengaluru,₹7L – ₹10L/yr (Glassdoor Est.),3.7,,7 – 10/yr,0,7,10,700000,1000000,850000.0,LSEG (London Stock Exchange Group)
Data Scientist,,Remote,₹12L – ₹20L/yr (Employer provided),,,12 – 20/yr,0,12,20,1200000,2000000,1600000.0,nan
Data Scientist 1,"PayPal
3.7",Bengaluru,₹2L – ₹4L/yr (Glassdoor Est.),3.7,,2 – 4/yr,0,2,4,200000,400000,300000.0,PayPal
Data Scientist,,Bengaluru,₹7L – ₹9L/yr (Employer provided),,,7 – 9/yr,0,7,9,700000,900000,800000.0,nan
Data Scientist,"Qualys
3.6",Pune,₹10L/yr (Glassdoor Est.),3.6,,10/yr,0,10,10,1000000,1000000,1000000.0,Qualys
Data Scientist / ML Engineer,,Remote,₹50K – ₹70K/mo (Employer provided),,,50 – 70/mo,1,50,70,50000,70000,60000.0,nan
Data Scientist,,Okhla,₹4L – ₹12L/yr (Employer provided),,,4 – 12/yr,0,4,12,400000,1200000,800000.0,nan
Data Scientist,,Remote,₹35L – ₹45L/yr (Employer provided),,,35 – 45/yr,0,35,45,3500000,4500000,4000000.0,nan
Senior Data Scientist,"OSRAM India Pvt. Limited
3.7",Gurgaon,₹3L – ₹10L/yr (Glassdoor Est.),3.7,,3 – 10/yr,0,3,10,300000,1000000,650000.0,OSRAM India Pvt. Limited
Principal Member of technical Staff- AI & Data Engineering,"Athenahealth
4.1",Chennai,₹5L – ₹8L/yr (Glassdoor Est.),4.1,,5 – 8/yr,0,5,8,500000,800000,650000.0,Athenahealth
Data Scientist - C13 - VP - PUNE,"Citi
3.7",Pune,₹3L – ₹4L/yr (Glassdoor Est.),3.7,,3 – 4/yr,0,3,4,300000,400000,350000.0,Citi
Engineer – Marketing Data & AI,"Electrolux
4.0",Bengaluru,₹7L – ₹9L/yr (Glassdoor Est.),4.0,,7 – 9/yr,0,7,9,700000,900000,800000.0,Electrolux
NLP Project Manager,,Coimbatore,₹4L/yr (Employer provided),,,4/yr,0,4,4,400000,400000,400000.0,nan
Python/AI Developer (FastAPI & MongoDB Specialist),,Mohali,₹4L/yr (Employer provided),,,4/yr,0,4,4,400000,400000,400000.0,nan
DATA SCIENTIST : 0-2 Years (FRESHERS),"REIZEND PRIVATE LIMITED
3.6",India,₹4L – ₹6L/yr (Employer provided),3.6,,4 – 6/yr,0,4,6,400000,600000,500000.0,REIZEND PRIVATE LIMITED
Data Scientist,,Remote,₹5L – ₹10L/yr (Employer provided),,,5 – 10/yr,0,5,10,500000,1000000,750000.0,nan
Data Scientist,"Confident
4.1",Chennai,₹6L – ₹19L/yr (Employer provided),4.1,,6 – 19/yr,0,6,19,600000,1900000,1250000.0,Confident
Data Scientist Intern,"SoulPage IT Solutions
4.4",Hyderābād,₹20K/mo (Employer provided),4.4,,20/mo,1,20,20,20000,20000,20000.0,SoulPage IT Solutions
Data Scientist,,India,₹20K – ₹80K/mo (Employer provided),,,20 – 80/mo,1,20,80,20000,80000,50000.0,nan
Data Scientist,,Remote,₹4L – ₹11L/yr (Employer provided),,,4 – 11/yr,0,4,11,400000,1100000,750000.0,nan
Data Scientist,,Remote,₹6L – ₹12L/yr (Employer provided),,,6 – 12/yr,0,6,12,600000,1200000,900000.0,nan
"Data / ML Scientist (Clustering, Trends & Root-Cause)",,Remote,₹10L/yr (Employer provided),,,10/yr,0,10,10,1000000,1000000,1000000.0,nan
Data Scientist,"Spotify
4.0",Mumbai,₹3L – ₹9L/yr (Glassdoor Est.),4.0,,3 – 9/yr,0,3,9,300000,900000,600000.0,Spotify
Data Scientist,"ITSWS Technologies Pvt. Ltd.
4.0",Remote,₹60K – ₹70K/mo (Employer provided),4.0,,60 – 70/mo,1,60,70,60000,70000,65000.0,ITSWS Technologies Pvt. Ltd.
Junior Data Scientist,"LSEG (London Stock Exchange Group)
3.7",Bengaluru,₹7L – ₹10L/yr (Glassdoor Est.),3.7,,7 – 10/yr,0,7,10,700000,1000000,850000.0,LSEG (London Stock Exchange Group)
Data Scientist,,Remote,₹12L – ₹20L/yr (Employer provided),,,12 – 20/yr,0,12,20,1200000,2000000,1600000.0,nan
Data Scientist 1,"PayPal
3.7",Bengaluru,₹2L – ₹4L/yr (Glassdoor Est.),3.7,,2 – 4/yr,0,2,4,200000,400000,300000.0,PayPal
Data Scientist,,Bengaluru,₹7L – ₹9L/yr (Employer provided),,,7 – 9/yr,0,7,9,700000,900000,800000.0,nan
Data Scientist,"Qualys
3.6",Pune,₹10L/yr (Glassdoor Est.),3.6,,10/yr,0,10,10,1000000,1000000,1000000.0,Qualys
Data Scientist / ML Engineer,,Remote,₹50K – ₹70K/mo (Employer provided),,,50 – 70/mo,1,50,70,50000,70000,60000.0,nan
Data Scientist,,Okhla,₹4L – ₹12L/yr (Employer provided),,,4 – 12/yr,0,4,12,400000,1200000,800000.0,nan
Data Scientist,,Remote,₹35L – ₹45L/yr (Employer provided),,,35 – 45/yr,0,35,45,3500000,4500000,4000000.0,nan
Senior Data Scientist,"OSRAM India Pvt. Limited
3.7",Gurgaon,₹3L – ₹10L/yr (Glassdoor Est.),3.7,,3 – 10/yr,0,3,10,300000,1000000,650000.0,OSRAM India Pvt. Limited
Principal Member of technical Staff- AI & Data Engineering,"Athenahealth
4.1",Chennai,₹5L – ₹8L/yr (Glassdoor Est.),4.1,,5 – 8/yr,0,5,8,500000,800000,650000.0,Athenahealth
Data Scientist - C13 - VP - PUNE,"Citi
3.7",Pune,₹3L – ₹4L/yr (Glassdoor Est.),3.7,,3 – 4/yr,0,3,4,300000,400000,350000.0,Citi
Engineer – Marketing Data & AI,"Electrolux
4.0",Bengaluru,₹7L – ₹9L/yr (Glassdoor Est.),4.0,,7 – 9/yr,0,7,9,700000,900000,800000.0,Electrolux
NLP Project Manager,,Coimbatore,₹4L/yr (Employer provided),,,4/yr,0,4,4,400000,400000,400000.0,nan
Python/AI Developer (FastAPI & MongoDB Specialist),,Mohali,₹4L/yr (Employer provided),,,4/yr,0,4,4,400000,400000,400000.0,nan
DATA SCIENTIST : 0-2 Years (FRESHERS),"REIZEND PRIVATE LIMITED
3.6",India,₹4L – ₹6L/yr (Employer provided),3.6,,4 – 6/yr,0,4,6,400000,600000,500000.0,REIZEND PRIVATE LIMITED
Data Scientist,,Remote,₹5L – ₹10L/yr (Employer provided),,,5 – 10/yr,0,5,10,500000,1000000,750000.0,nan
Data Scientist,"Confident
4.1",Chennai,₹6L – ₹19L/yr (Employer provided),4.1,,6 – 19/yr,0,6,19,600000,1900000,1250000.0,Confident
Data Scientist Intern,"SoulPage IT Solutions
4.4",Hyderābād,₹20K/mo (Employer provided),4.4,,20/mo,1,20,20,20000,20000,20000.0,SoulPage IT Solutions
Data Scientist,,India,₹20K – ₹80K/mo (Employer provided),,,20 – 80/mo,1,20,80,20000,80000,50000.0,nan
Data Scientist,,Remote,₹4L – ₹11L/yr (Employer provided),,,4 – 11/yr,0,4,11,400000,1100000,750000.0,nan
Data Scientist,,Remote,₹6L – ₹12L/yr (Employer provided),,,6 – 12/yr,0,6,12,600000,1200000,900000.0,nan
"Data / ML Scientist (Clustering, Trends & Root-Cause)",,Remote,₹10L/yr (Employer provided),,,10/yr,0,10,10,1000000,1000000,1000000.0,nan
Data Scientist,"Spotify
4.0",Mumbai,₹3L – ₹9L/yr (Glassdoor Est.),4.0,,3 – 9/yr,0,3,9,300000,900000,600000.0,Spotify
Data Scientist,"ITSWS Technologies Pvt. Ltd.
4.0",Remote,₹60K – ₹70K/mo (Employer provided),4.0,,60 – 70/mo,1,60,70,60000,70000,65000.0,ITSWS Technologies Pvt. Ltd.
Junior Data Scientist,"LSEG (London Stock Exchange Group)
3.7",Bengaluru,₹7L – ₹10L/yr (Glassdoor Est.),3.7,,7 – 10/yr,0,7,10,700000,1000000,850000.0,LSEG (London Stock Exchange Group)
Data Scientist,,Remote,₹12L – ₹20L/yr (Employer provided),,,12 – 20/yr,0,12,20,1200000,2000000,1600000.0,nan
